date,hospital,type,incidents,report,link
5/24/18,BHC Fairfax,Escape,1,Unreported,https://www.documentcloud.org/documents/6140568-Fairfax-Kirkland-052418-Escape.html
6/12/18,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140567-Fairfax-Kirkland-061218-Assault.html
6/13/18,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140566-Fairfax-Kirkland-061318-Assault.html
7/9/18,BHC Fairfax,Fall,1,Unreported,https://www.documentcloud.org/documents/6140565-Fairfax-Kirkland-070918-Fall.html
7/23/18,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140564-Fairfax-Kirkland-072318-Assault.html
8/5/18,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140563-Fairfax-Kirkland-080518-Assault.html
8/5/18,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140563-Fairfax-Kirkland-080518-Assault.html
8/6/18,BHC Fairfax,Suicide Attempt,1,Unreported,https://www.documentcloud.org/documents/6140562-Fairfax-Kirkland-080618-Suicide-Attempt.html
8/18/18,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140561-Fairfax-Kirkland-081818-Assault.html
8/21/18,BHC Fairfax,Injury,1,Unreported,https://www.documentcloud.org/documents/6140560-Fairfax-Kirkland-082118-Injury.html
8/24/18,BHC Fairfax,Escape,1,Unreported,https://www.documentcloud.org/documents/6140559-Fairfax-Kirkland-082418-Escape.html
8/25/18,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140558-Fairfax-Kirkland-082518-Assault.html
8/26/18,BHC Fairfax,Escape,1,Unreported,https://www.documentcloud.org/documents/6140557-Fairfax-Kirkland-082618-Escape.html
9/2/18,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140556-Fairfax-Kirkland-090218-Assault.html
9/27/18,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140555-Fairfax-Kirkland-092718-Assault.html
9/28/18,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140554-Fairfax-Kirkland-092818-Assault.html
10/5/18,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140553-Fairfax-Kirkland-100518-Assault.html
10/11/18,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140552-Fairfax-Kirkland-101118-Assault.html
10/17/18,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140551-Fairfax-Kirkland-101718-Assault.html
11/8/18,BHC Fairfax,Medication Error,1,Reported,
11/18/18,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140550-Fairfax-Kirkland-111818-Assault.html
11/29/18,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140549-Fairfax-Kirkland-112918-Assault.html
12/8/18,BHC Fairfax,Sex Offense,1,Unreported,https://www.documentcloud.org/documents/6140548-Fairfax-Kirkland-120818-Sexual-Assault.html
12/24/18,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140547-Fairfax-Kirkland-122418-Assault.html
12/27/18,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140589-Fairfax-Kirkland-122718-Assault.html
12/31/18,BHC Fairfax,Escape,1,Unreported,https://www.documentcloud.org/documents/6140545-Fairfax-Kirkland-123118-Escape.html
1/21/16,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143912-Cascade-012116-Assault.html
5/13/16,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143911-Cascade-051316-Assault.html
5/24/16,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143910-Cascade-052416-Assault.html
6/14/16,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143885-Cascade-061416-Assault.html
6/26/16,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143909-Cascade-062616-Assault.html
7/15/16,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143908-Cascade-071516-Assault.html
7/18/16,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143907-Cascade-071816-Assault.html
7/20/16,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143884-Cascade-072016-Assault.html
7/25/16,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143906-Cascade-072516-Assault.html
7/28/16,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143905-Cascade-072816-Assault.html
8/12/16,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143883-Cascade-081216-Assault.html
8/20/16,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143904-Cascade-082016-Assault.html
8/27/16,Cascade Behavioral,Sex Offense,1,Unreported,https://www.documentcloud.org/documents/6143882-Cascade-082716-Sexual-Assault.html
9/19/16,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143903-Cascade-091916-Assault.html
11/28/16,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143902-Cascade-112816-Assault.html
12/21/16,Cascade Behavioral,Sudden Death,1,Unreported,https://www.documentcloud.org/documents/6145685-Cascade-SOD-031017.html#document/p15/a506743
2/11/17,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6145685-Cascade-SOD-031017.html#document/p11/a506742
3/16/17,Cascade Behavioral,Sexual Assault,1,Reported,
4/7/17,Cascade Behavioral,Fall,1,Reported,
4/20/17,Cascade Behavioral,Suicide Attempt,1,Reported,
4/20/17,Cascade Behavioral,Suicide,1,Unreported,https://www.documentcloud.org/documents/6145691-Cascade-SOD-050517.html#document/p7/a506741
5/8/17,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143901-Cascade-050817-Assault.html
5/19/17,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143900-Cascade-051917-Assault.html
6/1/17,Cascade Behavioral,Fatal Injury,1,Unreported,https://www.documentcloud.org/documents/6189314-Cascade-060117-Fatal-Injury.html
6/3/17,Cascade Behavioral,Fall,1,Reported,
6/16/17,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143899-Cascade-061617-Assault.html
6/27/17,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6145692-Cascade-SOD-072117.html#document/p8/a506739
7/2/17,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6145692-Cascade-SOD-072117.html#document/p9/a506740
7/26/17,Cascade Behavioral,Fall,1,Reported,
9/13/17,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143898-Cascade-091317-Assault.html
10/6/17,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143897-Cascade-100617-Assault.html
10/11/17,Cascade Behavioral,Sex Offense,1,Unreported,https://www.documentcloud.org/documents/6146083-Cascade-SOD-120617.html#document/p2/a506738
11/15/17,Cascade Behavioral,Fatal Injury,1,Unreported,https://www.documentcloud.org/documents/6189322-Cascade-111517-Fatal-Injury.html
11/16/17,Cascade Behavioral,Fall,1,Reported,
1/25/18,Cascade Behavioral,Fall,1,Reported,
2/8/18,Cascade Behavioral,Fall,1,Reported,
3/2/18,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143896-Cascade-030218-Assault.html
3/12/18,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143895-Cascade-031218-Assault.html
3/22/18,Cascade Behavioral,Fall,1,Reported,
4/4/18,Cascade Behavioral,Suicide Attempt,1,Unreported,https://www.documentcloud.org/documents/6143892-Cascade-040418-Suicide-Attempt.html
5/1/18,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143894-Cascade-050118-Assault.html
5/13/18,Cascade Behavioral,Fall,1,Reported,
5/13/18,Cascade Behavioral,Fatal Injury,1,Unreported,https://www.documentcloud.org/documents/6189313-Cascade-051218-Fatal-Injury.html
5/25/18,Cascade Behavioral,Assault,1,U+E95nreported,https://www.documentcloud.org/documents/6143893-Cascade-052518-Assault.html
7/16/18,Cascade Behavioral,Sudden Death,1,Unreported,https://www.documentcloud.org/documents/6143891-Cascade-071618-Death.html
7/20/18,Cascade Behavioral,Sudden Death,1,Unreported,https://www.documentcloud.org/documents/6143890-Cascade-072018-Death.html
9/2/18,Cascade Behavioral,Escape,1,Unreported,https://www.documentcloud.org/documents/6143887-Cascade-090218-Escape.html
10/5/18,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143889-Cascade-100518-Assault.html
10/18/18,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143888-Cascade-101818-Assault.html
10/27/18,Cascade Behavioral,Assault,1,Unreported,https://www.documentcloud.org/documents/6143886-Cascade-102718-Assault.html
3/5/16,Fairfax Everett,Assault,1,Unreported,https://www.documentcloud.org/documents/6145783-Fairfax-Everett-030516-Assault.html
3/6/16,Fairfax Everett,Assault,1,Unreported,https://www.documentcloud.org/documents/6145782-Fairfax-Everett-030616-Assault.html
3/20/16,Fairfax Everett,Assault,1,Unreported,https://www.documentcloud.org/documents/6145781-Fairfax-Everett-032016-Assault.html
6/30/16,Fairfax Everett,Suicide Attempt,1,Unreported,https://www.documentcloud.org/documents/6145820-Fairfax-Everett-062018-Suicide-Attempt.html#document/p2/a506737
7/16/16,Fairfax Everett,Assault,1,Unreported,https://www.documentcloud.org/documents/6145780-Fairfax-Everett-071616-Assault.html
8/12/16,Fairfax Everett,Assault,1,Unreported,https://www.documentcloud.org/documents/6145779-Fairfax-Everett-081216-Assault.html
2/5/17,Fairfax Everett,Assault,1,Unreported,https://www.documentcloud.org/documents/6145778-Fairfax-Everett-020517-Assault.html
